raw_id,item_name,item_cost,item_style,item_room_type,item_indoor_outdoor,material_sustainability_score,climate_suitability,user_budget,user_preferred_style,user_preferred_room_type,user_indoor_outdoor,user_climate_type
1,Reclaimed brick garden edging,27,Modern,Garden,Outdoor,6,Cold,60,Traditional,Dining Room,Indoor,Cold
2,Biodegradable insulation wraps,24,Traditional,Living Room,Indoor,7,Dry,67,Rustic,Living Room,Indoor,Humid
3,Recycled steel roofing panels,46,Traditional,Kitchen,Indoor,6,Dry,54,Modern,Garden,Outdoor,Cold
4,Compostable plant pots,18,Rustic,Kitchen,Indoor,7,Cold,59,Traditional,Patio,Outdoor,Cold
5,Low-VOC Bamboo Countertops,21,Traditional,Bathroom,Indoor,7,Humid,57,Rustic,Bedroom,Indoor,Dry
6,Plant-based biodegradable adhesive,23,Traditional,Garden,Outdoor,7,Cold,60,Modern,Patio,Outdoor,Cold
7,Reclaimed Wood Coffee Table,166,Rustic,Kitchen,Indoor,7,Cold,255,Traditional,Garden,Outdoor,Cold
8,Solar-Powered LED Lighting,76,Rustic,Dining Room,Indoor,5,Cold,86,Modern,Kitchen,Indoor,Cold
9,Compostable Eco-Friendly Wall Panels,27,Modern,Bedroom,Indoor,8,Cold,54,Modern,Kitchen,Indoor,Dry
10,Organic Latex Mattress for Renovation,284,Rustic,Bedroom,Indoor,7,Humid,360,Modern,Garden,Outdoor,Humid
11,Upcycled vintage door shutters,147,Traditional,Dining Room,Indoor,6,Cold,317,Traditional,Bathroom,Indoor,Humid
12,Linen Cotton Bedding Sets,69,Rustic,Bedroom,Indoor,8,Cold,96,Modern,Living Room,Indoor,Cold
13,Bio-Resin Adhesive Tiles,31,Traditional,Bathroom,Indoor,7,Humid,52,Rustic,Dining Room,Indoor,Humid
14,Hempcrete insulation blocks,25,Rustic,Kitchen,Indoor,8,Humid,54,Traditional,Bathroom,Indoor,Cold
15,Bamboo Shower Bench,456,Rustic,Bathroom,Indoor,9,Humid,621,Rustic,Living Room,Indoor,Humid
16,Bamboo countertop panels,43,Modern,Kitchen,Indoor,7,Humid,145,Modern,Living Room,Indoor,Dry
17,Cork Composite Vanity Surface,52,Traditional,Bathroom,Indoor,9,Cold,57,Traditional,Kitchen,Indoor,Humid
18,Low-Emission Non-Toxic Paints,39,Traditional,Bathroom,Indoor,7,Cold,81,Traditional,Living Room,Indoor,Dry
19,Upcycled Glass Solar Lanterns,89,Rustic,Patio,Outdoor,7,Humid,113,Modern,Kitchen,Indoor,Cold
20,Recycled Denim Insulation Batts,24,Modern,Kitchen,Indoor,7,Humid,59,Modern,Bedroom,Indoor,Humid
21,Compostable Eco-Friendly Wall Panels,27,Traditional,Bedroom,Indoor,6,Humid,54,Modern,Bedroom,Indoor,Cold
22,Plant-Based Waterproof Roof Coating,36,Modern,Patio,Outdoor,10,Dry,120,Modern,Dining Room,Indoor,Humid
23,Organic cotton insulating panels,62,Modern,Bedroom,Indoor,7,Cold,169,Traditional,Patio,Outdoor,Cold
24,Recycled Glass Tiles,64,Rustic,Bathroom,Indoor,6,Cold,70,Traditional,Bedroom,Indoor,Cold
25,Recycled Bamboo Flooring,26,Modern,Kitchen,Indoor,6,Cold,53,Traditional,Living Room,Indoor,Cold
26,Organic Hemp Wall Paint,369,Modern,Bathroom,Indoor,8,Humid,701,Traditional,Patio,Outdoor,Dry
